"","good","model"
"1",0.144211620391848,"gbm"
"2",0.218814729082962,"gbm"
"3",0.139131253522651,"gbm"
"4",0.208631105844797,"gbm"
"5",0.179385610765719,"gbm"
"6",0.120071844534823,"gbm"
"7",0.164181484028644,"gbm"
"8",0.205241426326928,"gbm"
"9",0.156413287634618,"gbm"
"10",0.638012252879337,"gbm"
"11",0.22387265004053,"gbm"
"12",0.638012252879337,"gbm"
"13",0.186305201671998,"gbm"
"14",0.638012252879337,"gbm"
"15",0.638012252879337,"gbm"
"16",0.194471806079098,"gbm"
"17",0.129353075678487,"gbm"
"18",0.638012252879337,"gbm"
"19",0.638012252879337,"gbm"
"20",0.239115140832344,"gbm"
"21",0.144211620391848,"gbm"
"22",0.638012252879337,"gbm"
"23",0.638012252879337,"gbm"
"24",0.200495699012896,"gbm"
"25",0.638012252879337,"gbm"
"26",0.171822731153773,"gbm"
"27",0.638012252879337,"gbm"
"28",0.189779089244373,"gbm"
"29",0.184835736843535,"gbm"
"30",0.638012252879337,"gbm"
"31",0.638012252879337,"gbm"
"32",0.236262189471113,"gbm"
"33",0.120071844534823,"gbm"
"34",0.200495699012896,"gbm"
"35",0.146054675383698,"gbm"
"36",0.166872480718325,"gbm"
"37",0.156413287634618,"gbm"
"38",0.22387265004053,"gbm"
"39",0.638012252879337,"gbm"
"40",0.182534545204342,"gbm"
"41",0.147772112561917,"gbm"
"42",0.208631105844797,"gbm"
"43",0.144211620391848,"gbm"
"44",0.144211620391848,"gbm"
"45",0.179385610765719,"gbm"
"46",0.155990810792557,"gbm"
"47",0.239587909998247,"gbm"
"48",0.163675931518928,"gbm"
"49",0.226157482865321,"gbm"
"50",0.171822731153773,"gbm"
"51",0.120071844534823,"gbm"
"52",0.208631105844797,"gbm"
"53",0.22031846014868,"gbm"
"54",0.183746501021698,"gbm"
"55",0.171822731153773,"gbm"
"56",0.183746501021698,"gbm"
"57",0.638012252879337,"gbm"
"58",0.208631105844797,"gbm"
"59",0.200495699012896,"gbm"
"60",0.211673659995752,"gbm"
"61",0.171822731153773,"gbm"
"62",0.22387265004053,"gbm"
"63",0.194618727276444,"gbm"
"64",0.22387265004053,"gbm"
"65",0.184835736843535,"gbm"
